<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.RTS-12.18,1,18/09/18,10:59,109120.0,109120.0,109080.0,109100.0,134
SPFB.RTS-12.18,1,18/09/18,11:00,109090.0,109090.0,109060.0,109070.0,73
SPFB.RTS-12.18,1,18/09/18,11:01,109080.0,109100.0,109070.0,109100.0,68
SPFB.RTS-12.18,1,18/09/18,11:02,109110.0,109260.0,109090.0,109210.0,204
SPFB.RTS-12.18,1,18/09/18,11:03,109220.0,109240.0,109120.0,109170.0,180
SPFB.RTS-12.18,1,18/09/18,11:04,109140.0,109200.0,109140.0,109200.0,66
SPFB.RTS-12.18,1,18/09/18,11:05,109220.0,109250.0,109200.0,109210.0,55
SPFB.RTS-12.18,1,18/09/18,11:06,109180.0,109200.0,109160.0,109160.0,86
SPFB.RTS-12.18,1,18/09/18,11:07,109180.0,109200.0,109130.0,109130.0,144
SPFB.RTS-12.18,1,18/09/18,11:08,109130.0,109210.0,109110.0,109210.0,93
SPFB.RTS-12.18,1,18/09/18,11:09,109200.0,109200.0,109180.0,109180.0,12
SPFB.RTS-12.18,1,18/09/18,11:10,109180.0,109190.0,109170.0,109170.0,45
SPFB.RTS-12.18,1,18/09/18,11:11,109150.0,109190.0,109140.0,109180.0,126
SPFB.RTS-12.18,1,18/09/18,11:12,109180.0,109250.0,109180.0,109220.0,71
SPFB.RTS-12.18,1,18/09/18,11:13,109240.0,109290.0,109200.0,109240.0,194
SPFB.RTS-12.18,1,18/09/18,11:14,109220.0,109220.0,109150.0,109180.0,56
SPFB.RTS-12.18,1,18/09/18,11:15,109180.0,109180.0,109120.0,109130.0,1187
SPFB.RTS-12.18,1,18/09/18,11:16,109130.0,109170.0,109130.0,109150.0,61
SPFB.RTS-12.18,1,18/09/18,11:17,109140.0,109170.0,109140.0,109160.0,12
SPFB.RTS-12.18,1,18/09/18,11:18,109160.0,109190.0,109140.0,109150.0,69
SPFB.RTS-12.18,1,18/09/18,11:19,109120.0,109170.0,109110.0,109150.0,122
SPFB.RTS-12.18,1,18/09/18,11:20,109170.0,109180.0,109170.0,109170.0,50
SPFB.RTS-12.18,1,18/09/18,11:21,109150.0,109200.0,109150.0,109190.0,152
SPFB.RTS-12.18,1,18/09/18,11:22,109190.0,109190.0,109160.0,109170.0,97
SPFB.RTS-12.18,1,18/09/18,11:23,109160.0,109210.0,109160.0,109200.0,62
SPFB.RTS-12.18,1,18/09/18,11:24,109210.0,109290.0,109210.0,109270.0,160
SPFB.RTS-12.18,1,18/09/18,11:25,109270.0,109270.0,109200.0,109210.0,83
SPFB.RTS-12.18,1,18/09/18,11:26,109210.0,109240.0,109210.0,109230.0,77
SPFB.RTS-12.18,1,18/09/18,11:27,109240.0,109300.0,109240.0,109300.0,138
SPFB.RTS-12.18,1,18/09/18,11:28,109300.0,109300.0,109250.0,109250.0,195
SPFB.RTS-12.18,1,18/09/18,11:29,109260.0,109290.0,109240.0,109250.0,74
SPFB.RTS-12.18,1,18/09/18,11:30,109260.0,109340.0,109260.0,109340.0,74
SPFB.RTS-12.18,1,18/09/18,11:31,109340.0,109350.0,109260.0,109280.0,193
SPFB.RTS-12.18,1,18/09/18,11:32,109280.0,109280.0,109250.0,109250.0,44
SPFB.RTS-12.18,1,18/09/18,11:33,109260.0,109270.0,109240.0,109270.0,166
SPFB.RTS-12.18,1,18/09/18,11:34,109270.0,109310.0,109240.0,109240.0,96
SPFB.RTS-12.18,1,18/09/18,11:35,109250.0,109250.0,109230.0,109230.0,88
SPFB.RTS-12.18,1,18/09/18,11:36,109230.0,109280.0,109210.0,109280.0,158
SPFB.RTS-12.18,1,18/09/18,11:37,109280.0,109290.0,109250.0,109260.0,119
SPFB.RTS-12.18,1,18/09/18,11:38,109270.0,109290.0,109240.0,109290.0,93
SPFB.RTS-12.18,1,18/09/18,11:39,109290.0,109290.0,109230.0,109250.0,89
SPFB.RTS-12.18,1,18/09/18,11:40,109250.0,109280.0,109170.0,109170.0,163
SPFB.RTS-12.18,1,18/09/18,11:41,109180.0,109220.0,109180.0,109220.0,105
SPFB.RTS-12.18,1,18/09/18,11:42,109220.0,109350.0,109220.0,109340.0,98
SPFB.RTS-12.18,1,18/09/18,11:43,109340.0,109390.0,109320.0,109380.0,129
SPFB.RTS-12.18,1,18/09/18,11:44,109390.0,109400.0,109350.0,109380.0,200
SPFB.RTS-12.18,1,18/09/18,11:45,109390.0,109420.0,109340.0,109360.0,112
SPFB.RTS-12.18,1,18/09/18,11:46,109350.0,109420.0,109350.0,109400.0,114
SPFB.RTS-12.18,1,18/09/18,11:47,109390.0,109430.0,109390.0,109410.0,146
SPFB.RTS-12.18,1,18/09/18,11:48,109420.0,109440.0,109390.0,109420.0,127
SPFB.RTS-12.18,1,18/09/18,11:49,109420.0,109480.0,109390.0,109390.0,222
SPFB.RTS-12.18,1,18/09/18,11:50,109400.0,109420.0,109360.0,109420.0,83
SPFB.RTS-12.18,1,18/09/18,11:51,109420.0,109430.0,109350.0,109360.0,219
SPFB.RTS-12.18,1,18/09/18,11:52,109370.0,109430.0,109360.0,109410.0,59
SPFB.RTS-12.18,1,18/09/18,11:53,109430.0,109500.0,109430.0,109500.0,121
SPFB.RTS-12.18,1,18/09/18,11:54,109490.0,109490.0,109440.0,109440.0,66
SPFB.RTS-12.18,1,18/09/18,11:55,109450.0,109450.0,109410.0,109420.0,141
SPFB.RTS-12.18,1,18/09/18,11:56,109420.0,109540.0,109410.0,109430.0,1709
SPFB.RTS-12.18,1,18/09/18,11:57,109430.0,109480.0,109430.0,109480.0,162
SPFB.RTS-12.18,1,18/09/18,11:58,109470.0,109490.0,109430.0,109460.0,260
SPFB.RTS-12.18,1,18/09/18,11:59,109470.0,109480.0,109420.0,109440.0,152
SPFB.RTS-12.18,1,18/09/18,12:00,109420.0,109430.0,109380.0,109400.0,77
SPFB.RTS-12.18,1,18/09/18,12:01,109380.0,109410.0,109350.0,109350.0,159
SPFB.RTS-12.18,1,18/09/18,12:02,109340.0,109380.0,109340.0,109370.0,81
SPFB.RTS-12.18,1,18/09/18,12:03,109380.0,109490.0,109380.0,109480.0,147
SPFB.RTS-12.18,1,18/09/18,12:04,109480.0,109500.0,109460.0,109490.0,1098
SPFB.RTS-12.18,1,18/09/18,12:05,109500.0,109500.0,109460.0,109460.0,172
SPFB.RTS-12.18,1,18/09/18,12:06,109480.0,109550.0,109480.0,109540.0,491
SPFB.RTS-12.18,1,18/09/18,12:07,109560.0,109560.0,109520.0,109520.0,69
SPFB.RTS-12.18,1,18/09/18,12:08,109520.0,109590.0,109510.0,109580.0,168
SPFB.RTS-12.18,1,18/09/18,12:09,109580.0,109600.0,109570.0,109590.0,261
SPFB.RTS-12.18,1,18/09/18,12:10,109590.0,109620.0,109570.0,109600.0,216
SPFB.RTS-12.18,1,18/09/18,12:11,109600.0,109650.0,109600.0,109620.0,288
SPFB.RTS-12.18,1,18/09/18,12:12,109610.0,109660.0,109610.0,109650.0,346
SPFB.RTS-12.18,1,18/09/18,12:13,109650.0,109690.0,109640.0,109690.0,178
